devicekey,devicename,productname,productid,numberofcpu,virtualserialnumber,memorysize,romversion,serialnumber,assettag,osname,ipaddress,iplongvalue,osvendor,snapshotid,deviceowner,location,producttype,devicestatus,deviceboottime,productsubtype,producttypestr,serverrole,ipxaddress
529,wdc-h07-oa1b,BladeSystem c7000 Onboard Administrator,"",0,,0,"",O979MU0913,"","",10.128.205.78,176213326,"",,,"",12,5,,OA,MgmtProc,,
530,wdc-t2msg-dr1-3-ilo,Integrated Lights-Out 2 (iLO 2),"",0,,0,"",ILOUSE80892WV,"",Embedded,10.128.205.81,176213329,HP,,,"",12,1,,ILO2,MgmtProc,,
531,wdc-t2msg-dr1-4-ilo,Integrated Lights-Out 2 (iLO 2),"",0,,0,"",ILOUSE80892WK,"",Embedded,10.128.205.82,176213330,HP,,,"",12,1,,ILO2,MgmtProc,,
532,wdc-t2msg-dr1-5-ilo,Integrated Lights-Out 2 (iLO 2),"",0,,0,"",ILOUSE80892WE,"",Embedded,10.128.205.83,176213331,HP,,,"",12,1,,ILO2,MgmtProc,,
534,replmgr-mh-2-ilo,Integrated Lights-Out 2 (iLO 2),"",0,,0,"",ILOUSE74576L4,"",Embedded,10.128.205.87,176213335,HP,,,"",12,1,,ILO2,MgmtProc,,
535,FOC1139T04J,Cisco Catalyst Blade Switch 3020 for HP,"",0,,0,"",FOC1139T04J,"","",,,"",,,"",8,1,,c-Class,Switch,,
536,FOC1140T090,Cisco Catalyst Blade Switch 3020 for HP,"",0,,0,"",FOC1140T090,"","",,,"",,,"",8,1,,c-Class,Switch,,
537,wdc-exch-fab1sw19,Brocade 4/12 SAN Switch for HP c-Class BladeSystem,"",0,,0,"",CN8730604L,"","",10.128.205.84,176213332,"",,,"",8,1,,c-Class,Switch,,
538,wdc-exch-fab2sw19,Brocade 4/12 SAN Switch for HP c-Class BladeSystem,"",0,,0,"",CN8731604P,"","",10.128.205.85,176213333,"",,,"",8,1,,c-Class,Switch,,
539,FOC1239T1RE,Cisco Catalyst Blade Switch 3020 for HP,"",0,,0,"",FOC1239T1RE,"","",,,"",,,"",8,1,,c-Class,Switch,,
540,FOC1138T11T,Cisco Catalyst Blade Switch 3020 for HP,"",0,,0,"",FOC1138T11T,"","",,,"",,,"",8,1,,c-Class,Switch,,
541,TWT743V0WS,HP 1Gb Ethernet Pass-Thru Module for c-Class BladeSystem,"",0,,0,"",TWT743V0WS,"","",,,"",,,"",8,1,,c-Class,Switch,,
542,TWT743V169,HP 1Gb Ethernet Pass-Thru Module for c-Class BladeSystem,"",0,,0,"",TWT743V169,"","",,,"",,,"",8,1,,c-Class,Switch,,
543,wdc-h07,Rack,"",0,,0,"","","","",,,"",,,"",13,0,,c-Class daisy-chained,Rack,,
544,USE80892WR,ProLiant BL680c G5,"",0,,0,"",USE80892WR,"","",,,"",,,"",1,1,,HPProLiant,Server,,
545,USE80892WF,ProLiant BL680c G5,"",0,,0,"",USE80892WF,"","",,,"",,,"",1,1,,HPProLiant,Server,,
546,USE80892WV,ProLiant BL680c G5,"",0,,0,"",USE80892WV,"","",,,"",,,"",1,1,,HPProLiant,Server,,
547,USE80892WK,ProLiant BL680c G5,"",0,,0,"",USE80892WK,"","",,,"",,,"",1,1,,HPProLiant,Server,,
548,USE80892WE,ProLiant BL680c G5,"",0,,0,"",USE80892WE,"","",,,"",,,"",1,1,,HPProLiant,Server,,
549,USE74576KH,ProLiant BL465c G1,"",0,,0,"",USE74576KH,"","",,,"",,,"",1,1,,HPProLiant,Server,,
550,USE74576L4,ProLiant BL465c G1,"",0,,0,"",USE74576L4,"","",,,"",,,"",1,1,,HPProLiant,Server,,
551,wdc-exch-fab1sw18,"","",0,,0,"","","","",10.128.205.75,176213323,"",,,"",11,1,,None,Unknown,,
552,................,"","",0,,0,"","","","",,,"",,,"",1,9,,None,Server,,
553,wdc-edl4100-02,"","",0,,0,"","","","",10.128.205.90,176213338,"",,,"",11,5,,None,Unknown,,
554,wdc-edl4100-01,"","",0,,0,"","","","",10.128.205.89,176213337,"",,,"",11,5,,None,Unknown,,
555,wdc-edl4100-02a,"","",0,,0,"","","","",10.128.205.96,176213344,"",,,"",0,5,,None,Unmanaged,,
556,wdc-edl4100-01b,"","",0,,0,"","","","",10.128.205.95,176213343,"",,,"",0,5,,None,Unmanaged,,
557,wdc-edl4100-01a,"","",0,,0,"","","","",10.128.205.94,176213342,"",,,"",0,5,,None,Unmanaged,,
558,wdc-cx4-2311a,"","",0,,0,"","","","",10.128.205.99,176213347,"",,,"",11,1,,None,Unknown,,
559,wdc-vmax2314,"","",0,,0,"","","","",10.128.205.98,176213346,"",,,"",11,1,,None,Unknown,,
560,wdc-edl4100-02b,"","",0,,0,"","","","",10.128.205.97,176213345,"",,,"",0,5,,None,Unmanaged,,
561,wdc-cx4-2311b,"","",0,,0,"","","","",10.128.205.100,176213348,"",,,"",11,1,,None,Unknown,,
562,wdc-g11-oa1b,BladeSystem c7000 DDR2 Onboard Administrator with KVM,"",0,,0,"",OB09BK9196,"",Embedded,10.128.205.103,176213351,HP,,,"",12,1,,OA,MgmtProc,,
563,wdc-g11-bc1,BladeSystem c7000 Enclosure G2,9,0,,0,"",SGH043P6EX,41932,"",,,"",,,"",14,1,,ServerEnc,Enclosure,,
564,wdc-g11-oa1a,BladeSystem c7000 DDR2 Onboard Administrator with KVM,"",0,,0,"",OB09BK1108,"",Embedded,10.128.205.102,176213350,HP,,,"",12,1,,OA,MgmtProc,,
565,10.128.205.243,Integrated Lights-Out 3 (iLO 3),"",0,,0,"",ILOUSE04232JK,"",Embedded,10.128.205.243,176213491,HP,,,"",12,1,,ILO3,MgmtProc,,
566,10.128.205.242,Integrated Lights-Out 3 (iLO 3),"",0,,0,"",ILOUSE04232JR,"",Embedded,10.128.205.242,176213490,HP,,,"",12,1,,ILO3,MgmtProc,,
567,10.128.205.231,Integrated Lights-Out 3 (iLO 3),"",0,,0,"",ILOUSE0412ML8,"",Embedded,10.128.205.231,176213479,HP,,,"",12,1,,ILO3,MgmtProc,,
568,10.128.205.235,Integrated Lights-Out 3 (iLO 3),"",0,,0,"",ILOUSE0412MKR,"",Embedded,10.128.205.235,176213483,HP,,,"",12,1,,ILO3,MgmtProc,,
569,10.128.205.241,Integrated Lights-Out 3 (iLO 3),"",0,,0,"",ILOUSE0412MKY,"",Embedded,10.128.205.241,176213489,HP,,,"",12,1,,ILO3,MgmtProc,,
570,wdc-g11,Rack,"",0,,0,"","","","",,,"",,,"",13,0,,c-Class daisy-chained,Rack,,
571,USE04232JK,ProLiant BL685c G7,"",0,,0,"",USE04232JK,"","",,,"",,,"",1,1,,HPProLiant,Server,,
572,USE04232JR,ProLiant BL685c G7,"",0,,0,"",USE04232JR,"","",,,"",,,"",1,1,,HPProLiant,Server,,
573,USE0412ML8,ProLiant BL460c G7,"",0,,0,"",USE0412ML8,"","",,,"",,,"",1,1,,HPProLiant,Server,,
574,USE0412MKR,ProLiant BL460c G7,"",0,,0,"",USE0412MKR,"","",,,"",,,"",1,1,,HPProLiant,Server,,
575,USE0412MKY,ProLiant BL460c G7,"",0,,0,"",USE0412MKY,"","",,,"",,,"",1,1,,HPProLiant,Server,,
576,wdc-exch-rpa1-n2,"","",0,,0,"","","","",10.128.205.72,176213320,"",,,"",11,1,,None,Unknown,,
577,wdc-exch-rpa1-n1,"","",0,,0,"","","","",10.128.205.71,176213319,"",,,"",11,1,,None,Unknown,,
578,wdc-exch-rpa-clus-1,"","",0,,0,"","","","",10.128.205.91,176213339,"",,,"",11,1,,None,Unknown,,
579,wdc-adic-01,"","",0,,0,"","","","",10.128.205.92,176213340,"",,,"",11,1,,None,Unknown,,
584,10.128.200.32,Integrated Lights-Out 2 (iLO 2),"",0,,0,"",ILOUSE850JB1E,"",Embedded,10.128.200.32,176212000,HP,,,"",12,1,,ILO2,MgmtProc,,
585,USE850JB1E,ProLiant BL680c G5,"",0,,0,"",USE850JB1E,"","",,,"",,,"",1,1,,HPProLiant,Server,,
586,10.128.200.29,Integrated Lights-Out 2 (iLO 2),"",0,,0,"",ILOUSE80187A2,"",Embedded,10.128.200.29,176211997,HP,,,"",12,1,,ILO2,MgmtProc,,
587,USE80187A2,ProLiant BL465c G1,"",0,,0,"",USE80187A2,"","",,,"",,,"",1,1,,HPProLiant,Server,,
588,10.128.200.24,Integrated Lights-Out 2 (iLO 2),"",0,,0,"",ILOUSE850JB18,"",Embedded,10.128.200.24,176211992,HP,,,"",12,1,,ILO2,MgmtProc,,
589,wdc-devtest1-3-vmotion,ProLiant BL680c G5,"",4,,0,"",USE850JB18,Asset Tag: unknown,VMware ESXi Alternate Boot Bank,10.128.68.47,176178223,VMware,-1,,"",1,1,,VMHost,Server,,
590,10.128.200.21,Integrated Lights-Out 2 (iLO 2),"",0,,0,"",ILOUSE850JB16,"",Embedded,10.128.200.21,176211989,HP,,,"",12,1,,ILO2,MgmtProc,,
591,USE850JB16,ProLiant BL680c G5,"",0,,0,"",USE850JB16,"","",,,"",,,"",1,1,,HPProLiant,Server,,
592,10.128.200.27,Integrated Lights-Out 2 (iLO 2),"",0,,0,"",ILOUSE74576L1,"",Embedded,10.128.200.27,176211995,HP,,,"",12,1,,ILO2,MgmtProc,,
593,USE74576L1,ProLiant BL465c G1,"",0,,0,"",USE74576L1,"","",,,"",,,"",1,1,,HPProLiant,Server,,
594,10.128.200.22,Integrated Lights-Out 2 (iLO 2),"",0,,0,"",ILOUSE850JB1M,"",Embedded,10.128.200.22,176211990,HP,,,"",12,1,,ILO2,MgmtProc,,
595,wdc-devtest1-1-vmotion,ProLiant BL680c G5,"",4,,0,"",USE850JB1M,Asset Tag: unknown,VMware ESXi Alternate Boot Bank,10.128.68.45,176178221,VMware,-1,,"",1,3,,VMHost,Server,,
596,10.128.200.23,Integrated Lights-Out 2 (iLO 2),"",0,,0,"",ILOUSE850JB24,"",Embedded,10.128.200.23,176211991,HP,,,"",12,1,,ILO2,MgmtProc,,
597,wdc-devtest1-2-vmotion,ProLiant BL680c G5,"",4,,0,"",USE850JB24,Asset Tag: unknown,VMware ESXi Alternate Boot Bank,10.128.68.46,176178222,VMware,-1,,"",1,1,,VMHost,Server,,
598,10.128.200.30,BladeSystem c7000 Onboard Administrator,"",0,,0,"",O98BMP5572,"",Embedded,10.128.200.30,176211998,HP,,,"",12,1,,OA,MgmtProc,,
599,wdc-e13-bc1,BladeSystem c7000 Enclosure,9,0,,0,"",USE850JBEN,001910,"",,,"",,,"",14,1,,ServerEnc,Enclosure,,
600,10.128.200.31,BladeSystem c7000 Onboard Administrator,"",0,,0,"",O987MP5321,"","",10.128.200.31,176211999,"",,,"",12,5,,OA,MgmtProc,,
601,10.128.200.25,Integrated Lights-Out 2 (iLO 2),"",0,,0,"",ILOUSE850JB1D,"",Embedded,10.128.200.25,176211993,HP,,,"",12,1,,ILO2,MgmtProc,,
602,10.128.200.26,Integrated Lights-Out 2 (iLO 2),"",0,,0,"",ILOUSE850JB1T,"",Embedded,10.128.200.26,176211994,HP,,,"",12,1,,ILO2,MgmtProc,,
603,10.128.200.28,Integrated Lights-Out 2 (iLO 2),"",0,,0,"",ILOUSE74576L3,"",Embedded,10.128.200.28,176211996,HP,,,"",12,1,,ILO2,MgmtProc,,
604,FOC1239T1CS,Cisco Catalyst Blade Switch 3020 for HP,"",0,,0,"",FOC1239T1CS,"","",,,"",,,"",8,1,,c-Class,Switch,,
605,FOC1239T1CZ,Cisco Catalyst Blade Switch 3020 for HP,"",0,,0,"",FOC1239T1CZ,"","",,,"",,,"",8,1,,c-Class,Switch,,
606,TWT828V0NJ,HP 1Gb Ethernet Pass-Thru Module for c-Class BladeSystem,"",0,,0,"",TWT828V0NJ,"","",,,"",,,"",8,1,,c-Class,Switch,,
607,TWT743V0R6,HP 1Gb Ethernet Pass-Thru Module for c-Class BladeSystem,"",0,,0,"",TWT743V0R6,"","",,,"",,,"",8,1,,c-Class,Switch,,
608,wdc-e13,Rack,"",0,,0,"","","","",,,"",,,"",13,0,,c-Class daisy-chained,Rack,,
609,wdc-devtest1-4-vmotion,ProLiant BL680c G5,"",4,,0,"",USE850JB1D,Asset Tag: unknown,VMware ESXi Alternate Boot Bank,10.128.68.48,176178224,VMware,-1,,"",1,1,,VMHost,Server,,
610,wdc-devtest1-5-vmotion,ProLiant BL680c G5,"",4,,0,"",USE850JB1T,Asset Tag: unknown,VMware ESXi Alternate Boot Bank,10.128.68.49,176178225,VMware,-1,,"",1,1,,VMHost,Server,,
611,USE74576L3,ProLiant BL465c G1,"",0,,0,"",USE74576L3,"","",,,"",,,"",1,1,,HPProLiant,Server,,
612,10.128.200.33,Integrated Lights-Out 2 (iLO 2),"",0,,0,"",ILOUSE850JB1J,"",Embedded,10.128.200.33,176212001,HP,,,"",12,1,,ILO2,MgmtProc,,
613,wdc-devtest1-6-vmotion,ProLiant BL680c G5,"",4,,0,"",USE850JB1J,Asset Tag: unknown,VMware ESXi Alternate Boot Bank,10.128.68.50,176178226,VMware,-1,,"",1,1,,VMHost,Server,,
614,10.128.200.34,Integrated Lights-Out 2 (iLO 2),"",0,,0,"",ILOUSE850JB1Y,"",Embedded,10.128.200.34,176212002,HP,,,"",12,1,,ILO2,MgmtProc,,
615,wdc-devtest1-7-vmotion,ProLiant BL680c G5,"",4,,0,"",USE850JB1Y,Asset Tag: unknown,VMware ESXi Alternate Boot Bank,10.128.68.51,176178227,VMware,-1,,"",1,1,,VMHost,Server,,
616,10.128.200.35,Integrated Lights-Out 2 (iLO 2),"",0,,0,"",ILOUSE850JB19,"",Embedded,10.128.200.35,176212003,HP,,,"",12,1,,ILO2,MgmtProc,,
617,wdc-devtest1-8-vmotion,ProLiant BL680c G5,"",4,,0,"",USE850JB19,Asset Tag: unknown,VMware ESXi Alternate Boot Bank,10.128.68.52,176178228,VMware,-1,,"",1,1,,VMHost,Server,,
618,10.128.200.36,Integrated Lights-Out 2 (iLO 2),"",0,,0,"",ILOUSE850JB1W,"",Embedded,10.128.200.36,176212004,HP,,,"",12,1,,ILO2,MgmtProc,,
619,wdc-devtest1-9-vmotion,ProLiant BL680c G5,"",4,,0,"",USE850JB1W,Asset Tag: unknown,VMware ESXi Alternate Boot Bank,10.128.68.53,176178229,VMware,-1,,"",1,1,,VMHost,Server,,
620,10.128.200.37,Integrated Lights-Out 2 (iLO 2),"",0,,0,"",ILOUSE850JB1A,"",Embedded,10.128.200.37,176212005,HP,,,"",12,1,,ILO2,MgmtProc,,
621,wdc-devtest1-10-vmotion,ProLiant BL680c G5,"",4,,0,"",USE850JB1A,Asset Tag: unknown,VMware ESXi Alternate Boot Bank,10.128.68.32,176178208,VMware,-1,,"",1,1,,VMHost,Server,,
622,10.128.200.0,"","",0,,0,"","","","",10.128.200.0,176211968,"",,,"",0,1,,None,Unmanaged,,
623,10.128.200.39,Integrated Lights-Out 2 (iLO 2),"",0,,0,"",ILOUSE74576KC,"",Embedded,10.128.200.39,176212007,HP,,,"",12,1,,ILO2,MgmtProc,,
624,USE74576KC,ProLiant BL465c G1,"",0,,0,"",USE74576KC,"","",,,"",,,"",1,1,,HPProLiant,Server,,
625,10.128.200.38,Integrated Lights-Out 2 (iLO 2),"",0,,0,"",ILOUSE80187A9,"",Embedded,10.128.200.38,176212006,HP,,,"",12,1,,ILO2,MgmtProc,,
626,USE80187A9,ProLiant BL465c G1,"",0,,0,"",USE80187A9,"","",,,"",,,"",1,1,,HPProLiant,Server,,
627,10.128.200.41,BladeSystem c7000 Onboard Administrator,"",0,,0,"",O981MP4432,"",Embedded,10.128.200.41,176212009,HP,,,"",12,1,,OA,MgmtProc,,
628,wdc-e12-bc1,BladeSystem c7000 Enclosure,9,0,,0,"",USE81099N2,001909,"",,,"",,,"",14,3,,ServerEnc,Enclosure,,
629,10.128.201.24,BladeSystem c7000 Onboard Administrator,"",0,,0,"",O98BMP5768,"","",10.128.201.24,176212248,"",,,"",12,5,,OA,MgmtProc,,
630,10.128.200.40,Integrated Lights-Out 2 (iLO 2),"",0,,0,"",ILOUSE7436V64,"",Embedded,10.128.200.40,176212008,HP,,,"",12,1,,ILO2,MgmtProc,,
631,FOC1236T0E5,Cisco Catalyst Blade Switch 3020 for HP,"",0,,0,"",FOC1236T0E5,"","",,,"",,,"",8,1,,c-Class,Switch,,
632,FOC1236T07F,Cisco Catalyst Blade Switch 3020 for HP,"",0,,0,"",FOC1236T07F,"","",,,"",,,"",8,1,,c-Class,Switch,,
633,TWT743V0Y8,HP 1Gb Ethernet Pass-Thru Module for c-Class BladeSystem,"",0,,0,"",TWT743V0Y8,"","",,,"",,,"",8,3,,c-Class,Switch,,
634,TWT825V0YF,HP 1Gb Ethernet Pass-Thru Module for c-Class BladeSystem,"",0,,0,"",TWT825V0YF,"","",,,"",,,"",8,1,,c-Class,Switch,,
635,wdc-e12,Rack,"",0,,0,"","","","",,,"",,,"",13,0,,c-Class daisy-chained,Rack,,
636,USE7436V64,ProLiant BL465c G1,"",0,,0,"",USE7436V64,"","",,,"",,,"",1,1,,HPProLiant,Server,,
637,10.128.200.43,Integrated Lights-Out 2 (iLO 2),"",0,,0,"",ILOUSE850JB23,"",Embedded,10.128.200.43,176212011,HP,,,"",12,1,,ILO2,MgmtProc,,
638,wdc-devtest1-11-vmotion,ProLiant BL680c G5,"",4,,0,"",USE850JB23,Asset Tag: unknown,VMware ESXi Alternate Boot Bank,10.128.68.33,176178209,VMware,-1,,"",1,1,,VMHost,Server,,
639,10.128.200.44,Integrated Lights-Out 2 (iLO 2),"",0,,0,"",ILOUSE850JB17,"",Embedded,10.128.200.44,176212012,HP,,,"",12,1,,ILO2,MgmtProc,,
640,wdc-devtest1-12-vmotion,ProLiant BL680c G5,"",4,,0,"",USE850JB17,Asset Tag: unknown,VMware ESXi Alternate Boot Bank,10.128.68.34,176178210,VMware,-1,,"",1,1,,VMHost,Server,,
641,10.128.200.45,Integrated Lights-Out 2 (iLO 2),"",0,,0,"",ILOUSE850JB1X,"",Embedded,10.128.200.45,176212013,HP,,,"",12,1,,ILO2,MgmtProc,,
642,wdc-devtest1-13-vmotion,ProLiant BL680c G5,"",4,,0,"",USE850JB1X,Asset Tag: unknown,VMware ESXi Alternate Boot Bank,10.128.68.35,176178211,VMware,-1,,"",1,3,,VMHost,Server,,
643,10.128.200.47,Integrated Lights-Out 2 (iLO 2),"",0,,0,"",ILOUSE850JB1R,"",Embedded,10.128.200.47,176212015,HP,,,"",12,1,,ILO2,MgmtProc,,
644,wdc-devtest3-4-vmotion,ProLiant BL680c G5,"",4,,0,"",USE850JB1R,Asset Tag: unknown,VMware ESXi Alternate Boot Bank,10.128.68.37,176178213,VMware,-1,,"",1,1,,VMHost,Server,,
645,10.128.200.46,Integrated Lights-Out 2 (iLO 2),"",0,,0,"",ILOUSE850JB1B,"",Embedded,10.128.200.46,176212014,HP,,,"",12,1,,ILO2,MgmtProc,,
646,wdc-devtest3-3-vmotion,ProLiant BL680c G5,"",4,,0,"",USE850JB1B,Asset Tag: unknown,VMware ESXi Alternate Boot Bank,10.128.68.36,176178212,VMware,-1,,"",1,1,,VMHost,Server,,
647,10.128.200.48,Integrated Lights-Out 2 (iLO 2),"",0,,0,"",ILOUSE850JB26,"",Embedded,10.128.200.48,176212016,HP,,,"",12,1,,ILO2,MgmtProc,,
648,wdc-devtest3-5-vmotion,ProLiant BL680c G5,"",4,,0,"",USE850JB26,Asset Tag: unknown,VMware ESXi Alternate Boot Bank,10.128.68.38,176178214,VMware,-1,,"",1,1,,VMHost,Server,,
649,10.128.200.49,BladeSystem c7000 Onboard Administrator,"",0,,0,"",O981MP8400,"",Embedded,10.128.200.49,176212017,HP,,,"",12,1,,OA,MgmtProc,,
650,wdc-e11-bc1,BladeSystem c7000 Enclosure,9,0,,0,"",USE81099L0,001908,"",,,"",,,"",14,1,,ServerEnc,Enclosure,,
651,10.128.200.50,BladeSystem c7000 Onboard Administrator,"",0,,0,"",O987MP4848,"","",10.128.200.50,176212018,"",,,"",12,5,,OA,MgmtProc,,
652,FOC1236T0E8,Cisco Catalyst Blade Switch 3020 for HP,"",0,,0,"",FOC1236T0E8,"","",,,"",,,"",8,1,,c-Class,Switch,,
653,FOC1235T1AY,Cisco Catalyst Blade Switch 3020 for HP,"",0,,0,"",FOC1235T1AY,"","",,,"",,,"",8,1,,c-Class,Switch,,
654,TWT743V0KL,HP 1Gb Ethernet Pass-Thru Module for c-Class BladeSystem,"",0,,0,"",TWT743V0KL,"","",,,"",,,"",8,1,,c-Class,Switch,,
655,TWT828V01G,HP 1Gb Ethernet Pass-Thru Module for c-Class BladeSystem,"",0,,0,"",TWT828V01G,"","",,,"",,,"",8,1,,c-Class,Switch,,
656,wdc-e11,Rack,"",0,,0,"","","","",,,"",,,"",13,0,,c-Class daisy-chained,Rack,,
657,10.128.200.57,Integrated Lights-Out 2 (iLO 2),"",0,,0,"",ILOUSE7386AN4,"",Embedded,10.128.200.57,176212025,HP,,,"",12,1,,ILO2,MgmtProc,,
658,USE7386AN4,ProLiant BL465c G1,"",0,,0,"",USE7386AN4,"","",,,"",,,"",1,1,,HPProLiant,Server,,
659,10.128.200.58,Integrated Lights-Out 2 (iLO 2),"",0,,0,"",ILOQS74MU2764,"",Embedded,10.128.200.58,176212026,HP,,,"",12,1,,ILO2,MgmtProc,,
660,QS74MU2764,ProLiant BL465c G1,"",0,,0,"",QS74MU2764,"","",,,"",,,"",1,1,,HPProLiant,Server,,
661,10.128.200.59,Integrated Lights-Out 2 (iLO 2),"",0,,0,"",ILOUSE7477CX0,"",Embedded,10.128.200.59,176212027,HP,,,"",12,1,,ILO2,MgmtProc,,
662,USE7477CX0,ProLiant BL465c G1,"",0,,0,"",USE7477CX0,"","",,,"",,,"",1,1,,HPProLiant,Server,,
663,10.128.200.60,Integrated Lights-Out 2 (iLO 2),"",0,,0,"",ILOUSE7386AMW,"",Embedded,10.128.200.60,176212028,HP,,,"",12,1,,ILO2,MgmtProc,,
664,USE7386AMW,ProLiant BL465c G1,"",0,,0,"",USE7386AMW,"","",,,"",,,"",1,3,,HPProLiant,Server,,
665,10.128.200.61,BladeSystem c7000 Onboard Administrator,"",0,,0,"",O979MU1319,"",Embedded,10.128.200.61,176212029,HP,,,"",12,1,,OA,MgmtProc,,
666,wdc-t2msg-dr1-2-ilo,Integrated Lights-Out 2 (iLO 2),"",0,,0,"",ILOUSE80892WF,"",Embedded,10.128.205.80,176213328,HP,,,"",12,1,,ILO2,MgmtProc,,
670,wdc-e10-bc1,BladeSystem c7000 Enclosure,9,0,,0,"",USE7436VP4,001968,"",,,"",,,"",14,1,,ServerEnc,Enclosure,,
671,10.128.200.62,BladeSystem c7000 Onboard Administrator,"",0,,0,"",O979MU6040,"","",10.128.200.62,176212030,"",,,"",12,5,,OA,MgmtProc,,
672,FOC1235T0UG,Cisco Catalyst Blade Switch 3020 for HP,"",0,,0,"",FOC1235T0UG,"","",,,"",,,"",8,1,,c-Class,Switch,,
673,FOC1235T0VZ,Cisco Catalyst Blade Switch 3020 for HP,"",0,,0,"",FOC1235T0VZ,"","",,,"",,,"",8,1,,c-Class,Switch,,
674,TWT838V108,HP 1Gb Ethernet Pass-Thru Module for c-Class BladeSystem,"",0,,0,"",TWT838V108,"","",,,"",,,"",8,1,,c-Class,Switch,,
675,TWT838V076,HP 1Gb Ethernet Pass-Thru Module for c-Class BladeSystem,"",0,,0,"",TWT838V076,"","",,,"",,,"",8,1,,c-Class,Switch,,
676,wdc-e10,Rack,"",0,,0,"","","","",,,"",,,"",13,0,,c-Class daisy-chained,Rack,,
677,USE923MM8M,ProLiant BL685c G6,"",0,,0,"",USE923MM8M,"","",,,"",,,"",1,1,,HPProLiant,Server,,
684,10.16.24.3,"","",0,,0,"","","","",10.16.24.3,168826883,"",,,"",11,1,,None,Unknown,,
685,osdc-ph3-vmg1-4-ilo,Integrated Lights-Out 2 (iLO 2),"",0,,0,"",ILOUSE7386925,"",Embedded,10.16.24.10,168826890,HP,,,"",12,1,,ILO2,MgmtProc,,
686,USE7386925,ProLiant BL685c G1,"",0,,0,"",USE7386925,"","",,,"",,,"",1,1,,HPProLiant,Server,,
687,10.16.24.1,"","",0,,0,"","","","",10.16.24.1,168826881,"",,,"",11,1,,None,Unknown,,
688,10.16.24.2,"","",0,,0,"","","","",10.16.24.2,168826882,"",,,"",11,1,,None,Unknown,,
689,osdc-ph3-vmg1-2-ilo,Integrated Lights-Out 2 (iLO 2),"",0,,0,"",ILOUSE7386924,"",Embedded,10.16.24.13,168826893,HP,,,"",12,1,,ILO2,MgmtProc,,
690,USE7386924,ProLiant BL685c G1,"",0,,0,"",USE7386924,"","",,,"",,,"",1,1,,HPProLiant,Server,,
691,osdc-fab54sw1,"","",0,,0,"","","","",10.16.24.15,168826895,"",,,"",11,1,,None,Unknown,,
692,osdc-fab53sw1,"","",0,,0,"","","","",10.16.24.14,168826894,"",,,"",11,1,,None,Unknown,,
693,osdc-ph3-e25-oa2a,BladeSystem c7000 Onboard Administrator,"",0,,0,"",O978MU2503,"",Embedded,10.16.24.12,168826892,HP,,,"",12,5,,OA,MgmtProc,,
694,osdc-ph3-e25-2,BladeSystem c7000 Enclosure,9,0,,0,"",USE738683R,"","",,,"",,,"",14,1,,ServerEnc,Enclosure,,
695,osdc-ph3-e25-oa2b,BladeSystem c7000 Onboard Administrator,"",0,,0,"",O978MU3631,"",Embedded,10.16.24.11,168826891,HP,,,"",12,1,,OA,MgmtProc,,
696,10.16.25.241,Integrated Lights-Out 2 (iLO 2),"",0,,0,"",ILOUSE923MM8S,"",Embedded,10.16.25.241,168827377,HP,,,"",12,1,,ILO2,MgmtProc,,
697,ora-phnx-2-ilo,Integrated Lights-Out 2 (iLO 2),"",0,,0,"",ILOUSE74472RE,"",Embedded,10.16.24.183,168827063,HP,,,"",12,1,,ILO2,MgmtProc,,
698,ora-apps-phnx-2-ilo,Integrated Lights-Out 2 (iLO 2),"",0,,0,"",ILOUSE7153W1X,"",Embedded,10.16.24.185,168827065,HP,,,"",12,1,,ILO2,MgmtProc,,
699,ora-fmprodidm-r2-ilo,Integrated Lights-Out 2 (iLO 2),"",0,,0,"",ILOUSE74576KY,"",Embedded,10.16.24.28,168826908,HP,,,"",12,1,,ILO2,MgmtProc,,
700,ora-dr-ebs-app-2-ilo,Integrated Lights-Out 2 (iLO 2),"",0,,0,"",ILOUSE74576KW,"",Embedded,10.16.24.181,168827061,HP,,,"",12,1,,ILO2,MgmtProc,,
701,pasiebdbstage1b-ilo,Integrated Lights-Out 2 (iLO 2),"",0,,0,"",ILOUSE74576KD,"",Embedded,10.16.24.163,168827043,HP,,,"",12,1,,ILO2,MgmtProc,,
702,ora-fmprodb2b-r2-ilo,Integrated Lights-Out 2 (iLO 2),"",0,,0,"",ILOUSE74576KA,"",Embedded,10.16.24.177,168827057,HP,,,"",12,1,,ILO2,MgmtProc,,
703,ora-fmprodsoa-r2-ilo,Integrated Lights-Out 2 (iLO 2),"",0,,0,"",ILOUSE7153W20,"",Embedded,10.16.25.57,168827193,HP,,,"",12,1,,ILO2,MgmtProc,,
704,FOC1134T0BA,Cisco Catalyst Blade Switch 3020 for HP,"",0,,0,"",FOC1134T0BA,"","",,,"",,,"",8,1,,c-Class,Switch,,
705,FOC1134T0B8,Cisco Catalyst Blade Switch 3020 for HP,"",0,,0,"",FOC1134T0B8,"","",,,"",,,"",8,1,,c-Class,Switch,,
706,TWT735V03T,HP 1Gb Ethernet Pass-Thru Module for c-Class BladeSystem,"",0,,0,"",TWT735V03T,"","",,,"",,,"",8,1,,c-Class,Switch,,
707,TWT735V0UB,HP 1Gb Ethernet Pass-Thru Module for c-Class BladeSystem,"",0,,0,"",TWT735V0UB,"","",,,"",,,"",8,1,,c-Class,Switch,,
